Name,Type,Address,Ratings,Location,Price,Image
Pullman Saigon Centre,Hotel,"Ho Chi Minh City, Vietnam",4.7,Ho Chi Minh City,4800000,https://d2e5ushqwiltxm.cloudfront.net/wp-content/uploads/sites/79/2023/03/14083406/PSC-Exterior-Night-time-2a.jpg
Leha Saigon Hotel,Hotel,"9 Nguyen Van Mai, Tan Binh District",5.0,Ho Chi Minh City,1200000,https://i.travelapi.com/lodging/101000000/100650000/100643800/100643741/71206643_z.jpg
Majestic Hotel,Hotel,"Ho Chi Minh City, Vietnam",5.0,Ho Chi Minh City,4500000,https://majestic-saigon-hotel-ho-chi-minh-city.at-hotels.com/data/Pictures/OriginalPhoto/12780/1278024/1278024709/ho-chi-minh-city-majestic-saigon-hotel-picture-1.JPEG
Nikko Saigon Hotel,Hotel,"235 Nguyen Van Cu",5.0,Ho Chi Minh City,4800000,https://d3g2yh83to8qa2.cloudfront.net/wp-content/uploads/sites/12/2016/04/27044825/BIM_3871-Edit-990x590.jpg
Hoang Hai Long Hotel,Hotel,"Ho Chi Minh City, Vietnam",3.0,Ho Chi Minh City,1100000,https://du-lich.chudu24.com/f/m/1703/28/172f64a8_z.jpg?w=1200&h=800
Little Saigon Boutique Hotel,Hotel,"36 Bis/2 Le Loi",4.0,Ho Chi Minh City,1600000,https://media-cdn.tripadvisor.com/media/photo-s/2a/4a/f3/51/little-saigon-boutique.jpg
Sunrise Central Hotel,Hotel,"135-137 Ly Tu Trong, District 1",3.0,Ho Chi Minh City,1200000,https://pix10.agoda.net/hotelImages/119/1199048/1199048_16071815460044750847.jpg?s=1024x768
Anpha Boutique Hotel,Hotel,"202 Le Thanh Ton Street",4.1,Ho Chi Minh City,1500000,https://cf.bstatic.com/xdata/images/hotel/max1024x768/637468575.jpg?k=88a025f6e28145c1d6b4711fc594f5e34512a60fee72a47f8d20ee6938f676ca&o=
Hai Nam Boutique Hotel,Hotel,"Ho Chi Minh City, Vietnam",3.8,Ho Chi Minh City,950000,https://ak-d.tripcdn.com/images/1mc1p12000c6ons5x82D3.jpg
Caravelle Saigon Hotel,Hotel,"19-23 Lam Son Square, District 1",5.0,Ho Chi Minh City,5800000,https://media-cdn.tripadvisor.com/media/photo-s/14/b5/3e/d9/caravelle-saigon-the.jpg
Victory Hotel,Hotel,"14 Vo Van Tan, District 3",3.0,Ho Chi Minh City,1100000,https://ahoyvietnam.com/wp-content/uploads/2023/12/Victory-Hotel-Saigon-in-D3-HCMC-1024x768.webp
Saigon Hanoi Hotel,Hotel,"145/8 Nguyen Van Troi, Phu Nhuan",3.0,Ho Chi Minh City,950000,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2017/02/23/1745/Park-Hyatt-Saigon-P312-Exterior.jpg/Park-Hyatt-Saigon-P312-Exterior.16x9.adapt.1920.1080.jpg
Dong Khanh Hotel,Hotel,"2 Tran Hung Dao Street, District 5",3.0,Ho Chi Minh City,1300000,http://www.holidayinvietnam.com/sites/default/files/styles/vht_vlarge_720_540/public/vht/hotel/images/dong_khanh.jpg?itok=9vlC9yx-
Mifuki Boutique Hotel,Hotel,"Ho Chi Minh City, Vietnam",3.7,Ho Chi Minh City,850000,https://miro.medium.com/v2/resize:fit:770/1*N1-LxuiesHr4tJzj-dKZuw.jpeg
